date,open,high,low,close,volume,openinterest,ma
2023-06-27,6.81,6.98,6.77,6.98,51449.0,0.0,0.0
2023-06-28,6.99,6.99,6.69,6.87,62754.0,0.0,0.0
2023-06-29,6.88,7.07,6.8,7.03,49023.0,0.0,0.0
2023-06-30,7.02,7.17,7.0,7.12,57676.0,0.0,0.0
2023-07-03,7.12,7.2,7.01,7.04,50211.0,0.0,0.0
2023-07-04,7.04,7.17,7.0,7.12,49817.0,0.0,0.0
2023-07-05,7.11,7.18,7.02,7.04,47550.0,0.0,0.0
2023-07-06,7.1,7.2,7.02,7.12,55291.0,0.0,0.0
2023-07-07,7.17,7.17,7.0,7.06,48276.0,0.0,0.0
2023-07-10,7.04,7.07,6.9,6.92,49095.0,0.0,0.0
2023-07-11,6.94,7.06,6.88,7.05,37524.0,0.0,0.0
2023-07-12,7.06,7.06,6.9,6.9,40768.0,0.0,0.0
2023-07-13,6.92,7.05,6.9,7.04,41747.0,0.0,0.0
2023-07-14,7.01,7.05,6.96,6.99,33700.0,0.0,0.0
2023-07-17,6.98,7.04,6.87,7.0,43351.0,0.0,0.0
2023-07-18,7.0,7.06,6.97,6.99,38824.0,0.0,0.0
2023-07-19,7.0,7.03,6.91,6.92,38265.0,0.0,0.0
2023-07-20,6.92,6.95,6.76,6.79,45869.0,0.0,0.0
2023-07-21,6.75,6.83,6.63,6.64,48632.0,0.0,0.0
2023-07-24,6.64,6.78,6.6,6.71,37681.0,0.0,0.0
2023-07-25,6.71,6.95,6.7,6.91,54927.0,0.0,0.0
2023-07-26,6.89,6.92,6.69,6.75,57975.0,0.0,0.0
2023-07-27,6.73,6.78,6.62,6.64,59889.0,0.0,0.0
2023-07-28,6.66,6.66,6.46,6.57,55156.0,0.0,0.0
2023-07-31,6.62,6.68,6.56,6.59,43160.0,0.0,0.0
2023-08-01,6.59,6.63,6.54,6.56,43264.0,0.0,0.0
2023-08-02,6.56,6.64,6.54,6.57,34506.0,0.0,0.0
2023-08-03,6.55,6.55,6.47,6.51,42284.0,0.0,0.0
2023-08-04,6.52,6.57,6.47,6.49,48246.0,0.0,0.0
2023-08-07,6.47,6.52,6.42,6.48,32703.0,0.0,0.0
2023-08-08,6.5,7.04,6.46,6.78,169371.0,0.0,0.0
2023-08-09,6.73,6.74,6.48,6.52,129673.0,0.0,0.0
2023-08-10,6.5,6.62,6.41,6.59,77752.0,0.0,0.0
2023-08-11,6.52,6.56,6.44,6.44,77947.0,0.0,0.0
2023-08-14,6.44,6.5,6.26,6.49,76796.0,0.0,0.0
2023-08-15,6.45,6.46,6.26,6.31,63538.0,0.0,0.0
2023-08-16,6.28,6.35,6.21,6.21,44849.0,0.0,0.0
2023-08-17,6.21,6.47,6.11,6.43,71908.0,0.0,0.0
2023-08-18,6.4,6.45,6.23,6.24,40914.0,0.0,0.0
2023-08-21,6.28,6.35,6.19,6.2,45941.0,0.0,0.0
