candle_end_time,open,high,low,close,amount,info
2005-10-21,887.71,896.47,886.44,893.33,27630115.54,{}
2005-10-24,893.86,896.36,889.82,895.32,25742982.58,{}
2005-10-25,894.46,894.46,879.93,880.06,25511822.02,{}
2005-10-26,878.13,878.13,857.97,858.77,28597285.82,{}
2005-10-27,856.11,861.38,851.02,856.10,25535516.39,{}
2005-10-28,855.56,858.85,832.36,841.30,26542859.72,{}
2005-10-31,839.46,849.32,839.46,847.65,22004308.75,{}
2005-11-01,847.09,847.09,832.08,843.35,21532814.47,{}
2005-11-02,843.45,858.08,843.45,856.06,28096231.64,{}
2005-11-03,855.64,857.96,845.44,847.46,25098902.17,{}
2005-11-04,846.34,851.94,841.56,851.94,20074419.55,{}
2005-11-07,851.08,853.82,844.84,853.82,18713415.56,{}
2005-11-08,853.29,859.18,847.67,859.18,22315507.63,{}
2005-11-09,859.25,861.67,856.39,856.53,24954908.36,{}
2005-11-10,855.62,855.62,837.50,837.80,25275196.44,{}
2005-11-11,835.84,843.21,832.87,840.25,20209816.27,{}
2005-11-14,838.51,839.96,835.57,839.96,14278842.41,{}
2005-11-15,839.87,844.07,831.27,834.37,18403555.92,{}
2005-11-16,833.62,840.52,824.70,840.52,18545179.84,{}
2005-11-17,840.44,842.65,837.03,839.91,18115954.73,{}
2005-11-18,839.47,860.64,839.44,858.49,33979576.81,{}
2005-11-21,858.63,862.27,856.83,860.30,22909845.40,{}
2005-11-22,860.36,860.36,845.34,845.45,20951090.98,{}
2005-11-23,845.04,852.12,844.84,851.88,18052676.72,{}
2005-11-24,851.49,859.40,851.40,856.34,24153533.94,{}
2005-11-25,856.27,857.82,852.01,857.82,21331310.78,{}
2005-11-28,857.50,859.35,851.74,854.34,17685513.36,{}
2005-11-29,854.42,854.42,844.19,844.29,16490684.86,{}
2005-11-30,844.17,846.44,839.63,846.44,16688019.87,{}
2005-12-01,846.28,849.23,842.83,845.51,13973373.68,{}
2005-12-02,844.52,846.89,837.12,839.73,18900142.51,{}
2005-12-05,839.78,839.78,824.72,824.99,18684499.14,{}
2005-12-06,823.42,830.44,821.93,829.72,16859660.89,{}
2005-12-07,830.04,837.25,829.33,837.25,16132591.73,{}
2005-12-08,837.56,840.15,833.30,836.92,17007101.11,{}
